CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,9001,2026-07-05 10:00:00,A,5001
2,9002,2026-06-05 10:00:00,A,5007
3,9012,2026-05-25 10:00:00,A,5003
4,13,2025-11-08 10:00:00,A,5005
5,17,2022-07-29 10:00:00,A,5008
6,18,2022-06-03 10:00:00,A,5009
7,22,2023-09-14 10:00:00,A,5003
8,25,2023-01-04 10:00:00,A,5005
9,31,2024-06-09 10:00:00,A,5004
10,32,2023-03-02 10:00:00,A,5009
11,39,2022-08-03 10:00:00,A,5010
12,43,2024-09-16 10:00:00,A,5005
13,45,2024-09-04 10:00:00,A,5002
14,49,2023-11-20 10:00:00,A,5001
15,53,2023-04-03 10:00:00,A,5008
16,54,2022-04-21 10:00:00,A,5008
17,57,2023-12-30 10:00:00,A,5006
18,60,2022-08-29 10:00:00,A,5011
19,61,2024-04-25 10:00:00,A,5001
20,64,2025-07-24 10:00:00,A,5003
21,65,2022-05-15 10:00:00,A,5007
22,66,2023-05-03 10:00:00,A,5011
23,67,2025-04-07 10:00:00,A,5008
24,80,2022-06-02 10:00:00,A,5005
25,81,2024-05-18 10:00:00,A,5004
26,87,2025-02-05 10:00:00,A,5005
27,88,2025-01-12 10:00:00,A,5003
28,95,2025-03-02 10:00:00,A,5009
29,97,2023-09-28 10:00:00,A,5005
30,99,2024-08-12 10:00:00,A,5004
31,102,2025-05-08 10:00:00,A,5004
32,103,2024-04-27 10:00:00,A,5009
33,105,2024-04-19 10:00:00,A,5005
34,109,2025-02-04 10:00:00,A,5003
35,112,2024-07-29 10:00:00,A,5011
36,113,2023-12-19 10:00:00,A,5001
37,115,2025-06-15 10:00:00,A,5002
38,116,2024-07-26 10:00:00,A,5003
39,119,2024-02-27 10:00:00,A,5012
40,121,2025-04-08 10:00:00,A,5006
41,128,2023-11-25 10:00:00,A,5011
42,131,2025-10-03 10:00:00,A,5010
43,142,2026-04-27 10:00:00,A,5001
44,143,2025-04-03 10:00:00,A,5012
45,144,2024-04-30 10:00:00,A,5003
46,149,2022-12-06 10:00:00,A,5005
47,152,2026-02-16 10:00:00,A,5010
48,156,2025-03-28 10:00:00,A,5006
49,160,2025-02-27 10:00:00,A,5001
50,162,2023-10-28 10:00:00,A,5005
51,163,2024-11-13 10:00:00,A,5007
52,164,2025-09-21 10:00:00,A,5006
53,169,2023-04-08 10:00:00,A,5006
54,171,2024-04-23 10:00:00,A,5005
55,173,2023-03-11 10:00:00,A,5004
56,175,2025-01-01 10:00:00,A,5011
57,181,2026-02-22 10:00:00,A,5009
58,182,2022-09-05 10:00:00,A,5009
59,187,2022-07-26 10:00:00,A,5010
60,195,2023-05-12 10:00:00,A,5005
61,197,2022-05-05 10:00:00,A,5007
62,213,2023-02-18 10:00:00,A,5006
63,214,2024-12-03 10:00:00,A,5006
64,222,2025-01-13 10:00:00,A,5005
65,237,2022-05-09 10:00:00,A,5007
66,239,2022-10-17 10:00:00,A,5005
67,240,2024-06-19 10:00:00,A,5005
68,243,2023-08-25 10:00:00,A,5009
69,249,2022-12-13 10:00:00,A,5003
70,255,2023-06-09 10:00:00,A,5008
71,261,2023-11-06 10:00:00,A,5008
72,262,2025-07-24 10:00:00,A,5005
73,265,2024-07-27 10:00:00,A,5007
74,269,2025-12-03 10:00:00,A,5006
75,278,2023-06-07 10:00:00,A,5009
76,281,2025-03-27 10:00:00,A,5005
77,286,2023-08-02 10:00:00,A,5004
78,298,2023-05-26 10:00:00,A,5011
79,299,2024-12-02 10:00:00,A,5002
80,301,2024-07-02 10:00:00,A,5004
81,302,2024-11-01 10:00:00,A,5001
82,305,2024-07-23 10:00:00,A,5012
83,306,2026-01-11 10:00:00,A,5006
84,309,2026-04-01 10:00:00,A,5011
85,311,2025-09-18 10:00:00,A,5006
86,318,2023-10-03 10:00:00,A,5003
87,319,2024-04-22 10:00:00,A,5006
88,324,2025-10-26 10:00:00,A,5004
89,325,2023-11-28 10:00:00,A,5004
90,332,2024-02-14 10:00:00,A,5004
91,333,2023-12-13 10:00:00,A,5011
92,335,2025-01-09 10:00:00,A,5003
93,337,2025-09-25 10:00:00,A,5001
94,339,2025-04-14 10:00:00,A,5006
95,341,2022-09-22 10:00:00,A,5008
96,345,2026-01-14 10:00:00,A,5001
97,353,2025-04-11 10:00:00,A,5007
98,356,2024-10-03 10:00:00,A,5010
99,358,2024-06-07 10:00:00,A,5003
100,361,2024-11-16 10:00:00,A,5010
101,363,2023-06-16 10:00:00,A,5003
102,374,2024-04-14 10:00:00,A,5002
103,375,2022-06-16 10:00:00,A,5006
104,377,2025-04-06 10:00:00,A,5010
105,389,2022-04-18 10:00:00,A,5009
106,392,2023-07-29 10:00:00,A,5009
107,394,2024-01-26 10:00:00,A,5009
108,397,2024-10-14 10:00:00,A,5004
109,400,2024-12-09 10:00:00,A,5010
110,405,2022-08-13 10:00:00,A,5004
111,414,2026-12-06 10:00:00,A,5004
112,416,2023-10-15 10:00:00,A,5004
113,417,2022-11-20 10:00:00,A,5001
114,419,2025-03-23 10:00:00,A,5008
115,420,2023-05-16 10:00:00,A,5002
116,421,2025-05-24 10:00:00,A,5006
117,425,2022-05-25 10:00:00,A,5004
118,427,2023-10-28 10:00:00,A,5007
119,429,2025-07-15 10:00:00,A,5006
120,432,2022-11-09 10:00:00,A,5003
121,436,2024-10-22 10:00:00,A,5009
122,443,2023-03-20 10:00:00,A,5002
123,444,2022-04-02 10:00:00,A,5002
124,445,2022-12-16 10:00:00,A,5005
125,449,2025-02-14 10:00:00,A,5010
126,457,2025-06-04 10:00:00,A,5004
127,458,2023-03-22 10:00:00,A,5005
128,462,2023-07-24 10:00:00,A,5003
129,468,2023-04-06 10:00:00,A,5006
130,475,2024-07-13 10:00:00,A,5009
131,476,2025-07-12 10:00:00,A,5005
132,477,2024-02-09 10:00:00,A,5009
133,478,2022-07-19 10:00:00,A,5011
134,479,2024-11-24 10:00:00,A,5006
135,484,2024-05-29 10:00:00,A,5005
136,486,2023-01-27 10:00:00,A,5001
137,507,2022-10-18 10:00:00,A,5002
138,511,2023-12-13 10:00:00,A,5003
139,514,2026-01-31 10:00:00,A,5010
140,519,2022-09-13 10:00:00,A,5012
141,521,2024-07-09 10:00:00,A,5004
142,522,2024-04-29 10:00:00,A,5007
143,523,2025-05-06 10:00:00,A,5002
144,525,2022-06-09 10:00:00,A,5010
145,528,2025-11-30 10:00:00,A,5009
146,532,2025-10-24 10:00:00,A,5009
147,535,2023-07-19 10:00:00,A,5008
148,540,2024-07-19 10:00:00,A,5001
149,543,2024-11-30 10:00:00,A,5011
150,547,2022-12-02 10:00:00,A,5002
151,549,2025-04-22 10:00:00,A,5005
152,551,2025-01-09 10:00:00,A,5003
153,557,2023-09-06 10:00:00,A,5003
154,558,2025-05-04 10:00:00,A,5004
155,561,2022-07-18 10:00:00,A,5004
156,564,2022-10-20 10:00:00,A,5002
157,571,2025-02-22 10:00:00,A,5009
158,588,2026-04-03 10:00:00,A,5004
159,592,2024-10-14 10:00:00,A,5008
160,594,2024-08-24 10:00:00,A,5006
161,601,2024-03-26 10:00:00,A,5008
162,603,2023-10-29 10:00:00,A,5004
163,607,2024-04-08 10:00:00,A,5012
164,608,2025-08-04 10:00:00,A,5001
165,609,2022-10-29 10:00:00,A,5002
166,610,2025-05-09 10:00:00,A,5011
167,613,2025-10-17 10:00:00,A,5001
168,624,2024-03-09 10:00:00,A,5006
169,629,2022-07-26 10:00:00,A,5008
170,632,2025-04-09 10:00:00,A,5004
171,633,2025-07-13 10:00:00,A,5005
172,638,2025-03-04 10:00:00,A,5001
173,641,2025-01-31 10:00:00,A,5003
174,642,2023-11-05 10:00:00,A,5002
175,643,2024-12-29 10:00:00,A,5004
176,654,2024-02-21 10:00:00,A,5006
177,657,2024-08-28 10:00:00,A,5004
178,658,2024-11-20 10:00:00,A,5004
179,663,2024-12-20 10:00:00,A,5009
180,664,2025-11-13 10:00:00,A,5004
181,668,2022-05-21 10:00:00,A,5009
182,672,2023-09-29 10:00:00,A,5009
183,673,2023-12-25 10:00:00,A,5004
184,674,2024-01-03 10:00:00,A,5011
185,677,2026-02-11 10:00:00,A,5010
186,678,2026-01-13 10:00:00,A,5006
187,679,2025-01-13 10:00:00,A,5001
